"Пермский край, г. Нытва, ул. Комсомольская, 68",20
"Пермский край, г. Нытва, ул. Комсомольская, 59",10
"Пермский край, Нытвенский район, с. Григорьевское, ул. Матросова, 28",2
"Пермский край, пгт. Октябрьский, ул. Советская, 64",20
"Пермский край, пос. Октябрьский, ул. Ленина, 53",4
"Пермский край, пгт. Октябрьский, Больничный переулок, 4а",2
"Пермский край, пгт. Октябрьский, ул. Школьная, 10",2
"Пермский край, Октябрьский район, п. Тюш, ул. Первомайская, 12",2
"Пермский край, Октябрьский городской округ, п. Октябрьский, ул. Ленина, 63",2
"Пермский край, Октябрьский городской округ, п. Сарс, ул. Советская, 39",2
"Пермский край, Октябрьский район, с. Енопаево, ул. Советская, 64",2
"Пермский край, Октябрьский городской округ, с. Ишимово, ул. Мира, 12",2
"Пермский край, г. Пермь, ул. Репина, 31",4
"Пермский край, г. Пермь, ул. Репина, 67",2
"Пермский край, г. Пермь, ул. Бенгальская, 6",2
"Пермский край, г. Пермь, ул. Социалистическая, 8",2
"Пермский край, г. Пермь, ул. Трясолобова, 98",2
"Пермский край, г. Пермь, ул. Репина, 18",2
"Пермский край, г. Пермь, ул. Никитина, 18",4
"Пермский край, с. Орда, ул. Трактовая, 2",20
"Пермский край, с. Орда, ул. Советская, 22 — 4",4
"Пермский край, с. Орда, ул. Советская, 12",2
"Пермский край, Ординский район, с. Ашап, пер. Советский, 8",2
"Пермский край, Ординский район, с. Малый Ашап, ул. Советская, 53",2
"Пермский край, г. Оса, ул. Пугачева, 1А",10
"Пермский край, г. Оса, ул. Ленина, 35",20
"Пермский край, г. Оса, ул. Урицкого, 43",4
"Пермский край, г. Оса, ул. Ст. Разина, 79",2
"Пермский край, г. Оса, ул. Ленина, 6",4
"Пермский край, г. Оса, ул. К. Маркса, 12",4
"Пермский край, Осинский район, с. Гремяча, ул. Первомайская, 6",2
"Пермский край, Осинский район, д. Пермякова, ул. Ленина, 10",2
"Пермский край, г. Оханск, ул. Винокурова, 23а",20
"Пермский край, г. Оханск, ул. Красная, 1В",4
"Пермский край, Оханский район, с. Таборы, ул. Октября, 8",2
"Пермский край, г. Очер, ул. Советская, 5",20
"Пермский край, г. Очер, ул. Гоголя, 16",10
"Пермский край, п. Звездный (ЗАТО), ул. Ленина, 11",10
"Пермский край, г. Пермь, ул. 2-ая Казанцевская, 7",4
"Пермский край, д. Кондратово, ул. Садовое Кольцо, 14",4
"Пермский край, п. Кукуштан, ул. Чапаева, 36",4
"Пермский край, п. Юго-Камский, ул. Советская, 111",4
"Пермский край, Пермский район, с. Култаево, ул. Р.Кашина, 85А",2
"Пермский край, Пермский район, с. Гамово, ул. 50 лет Октября, 5",2
"Пермский край, Пермский район, с. Лобаново, ул. Культуры, 4",2
"Пермский край, Пермский район, д. Песьянка, ул. Строителей, 3",2
"Пермский край, Пермский район, с. Фролы, ул. Центральная, 4",2
"Пермский край, Пермский район, с. Усть-Качка, ул. Победы, 12",2
"Пермский край, Пермский район, с. Бершеть, ул. Школьная, 9",2
"Пермский край, пос. Сылва, ул. Заводской переулок, 8А",4
"Пермский край, г. Пермь, Комсомольский проспект, 74",1000
"Пермский край, г.Пермь, ул. 1-я Красноармейская, 37",10
"Пермский край, г. Пермь, пос. Новые Ляды, ул. Веселая, 2",4
"Пермский край, г. Пермь, ул. Пихтовая, 46",4
"Пермский край, с. Сива, ул. Садовая, 1",20
"Пермский край, Сивинский р-н, с. Буб, ул. Бубинская, 15",2
"Пермский край, г. Соликамск, ул. 20 лет Победы, 225",10
"Пермский край, г. Соликамск, Соликамское шоссе, 2А",20
"Пермский край, г. Соликамск, ул. Молодежная, 15",20
"Пермский край, г. Соликамск ул. Володарского, 32",2
"Пермский край, г. Соликамск, ул. Парижской Коммуны, 34",2
"Пермский край, г. Соликамск, ул. 20 Лет Победы, 146",2
"Пермский край, г. Соликамск, ул. 20 Лет Победы, 190",2
"Пермский край, г. Соликамск, ул. Коммунаров, 6",2
"Пермский край, г. Соликамск, ул. Фрунзе, 114",2
"Пермский край, Соликамский городской округ, с. Половодово, ул. Красногвардейская, 1",2
"Пермский край, Соликамский городской округ, с. Тохтуева, ул. Молодежная, 5",2
"Пермский край, р.п. Суксун, ул. Халтурина, 6",20
"Пермский край, р.п. Суксун, ул. Колхозная, 4",2
"Пермский край, Суксунский район, с. Ключи, ул. 40 лет Победы, 17",2
"Пермский край, Суксунский район, д. Киселево, ул. Новая, 2А",2
"Пермский край, с. Уинское, ул. Свободы, 27",20
"Пермский край, Уинский район, с. Нижний Сып, ул. Ленина, 65",2
"Пермский край, г. Чайковский, ул. Промышленная, 9/4",10
"Пермский край, г. Чайковский, ул. Вокзальная, 6",20
"Пермский край, г. Чайковский, ул. Азина, 31",4
"Пермский край, г. Чайковский, ул. Советская, 38",2
"Пермский край, г. Чайковский, ул. Советская, 45",2
"Пермский край, г. Чайковский ул. Карла Маркса, 4",2
"Пермский край, Чайковский городской округ, с. Фоки, ул. Ленина, 20",2
"Пермский край, г. Чайковский, ул. Ленина, 46",2
"Пермский край, г. Чайковский, ул. Декабристов, 19",2
"Пермский край, г. Чайковский, ул. Проспект победы, 12/1",2
"Пермский край, Чайковский городской округ, г. Чайковский, ул. 40 лет Октября, 18",2
"Пермский край, с. Частые, ул. Производственная, 14",20
"Пермский край, с. Частые, ул. М.Горького, 88",4
"Пермский край, г. Чердынь, ул. Юргановская, 53",20
"Пермский край, г. Чердынь, ул. Прокопьевская, 1",10
"Пермский край, Чердынский район, п. Керчевский, ул. Пушкина, 7",4
"Пермский край, Чердынский район, п. Ныроб, ул. Ворошилова, 74",4
"Пермский край, г. Чернушка, ул. Ленина, 82",10
"Пермский край, г. Чернушка, ул. Нефтяников, 3Б",20
"Пермский край, г. Чернушка, ул. Юбилейная, 15",2
"Пермский край, г. Чернушка, ул. Юбилейная, 19",4
"Пермский край, г. Чернушка, ул. Ленина, 109",2
"Пермский край, г. Чусовой, ул. Ленина, 5",10
"Пермский край, г. Чусовой, ул. Ленина, 2а",20
"Пермский край, г. Чусовой, ул. Ленина, 15",4
"Пермский край, г. Чусовой, ул. Ленина, 9",4
"Пермский край, п. В-Чусовские городки, ул. Победы, 29",2
"Пермский край, г. Чусовой, ул. 50 лет ВЛКСМ, 23",2
"Пермский край, г. Чусовой, ул. Крупской, 3",2
"Пермский край, Чусовской район п. Лямино, ул. Молодежная, 3",2
"Пермский край, с. Юрла, ул. Коммунаров, 5",20
"Пермский край, с. Юсьва, ул. Красноармейская, 7",10
"Пермский край, с. Юсьва, ул. Чечулина, 18",4
"Пермский край, Юсьвинский район, п. Пожва, ул. Судомеханическая, 9",2
